ID,시설명,실패사유,작업구분
767,"충청남도 청양군 청양군추모공원(봉안당)",검색 안됨,명칭/주소/전화 동기화
770,"경기도 광주시 (재)자하연분당",검색 안됨,명칭/주소/전화 동기화
772,"광주광역시 북구 광주영락공원 제1추모관",검색 안됨,명칭/주소/전화 동기화
777,"강원특별자치도 춘천시 춘천안식공원(안식의집)",검색 안됨,명칭/주소/전화 동기화
785,"경기도 화성시 종로구추모의집",검색 안됨,명칭/주소/전화 동기화
787,"경상남도 의령군 의령군공설납골묘",검색 안됨,명칭/주소/전화 동기화
789,"강원특별자치도 원주시 휴마루",검색 안됨,명칭/주소/전화 동기화
791,"장미원",유사도 낮음,명칭/주소/전화 동기화
794,"경기도 의정부시 하늘의문(천주교 신곡2동성당)",검색 안됨,명칭/주소/전화 동기화
798,"충청북도 청주시 청주시목련원목련당",검색 안됨,명칭/주소/전화 동기화
805,"충청북도 음성군 증평군 추모의집",검색 안됨,명칭/주소/전화 동기화
807,"경기 안성시 하늘문 봉안당",검색 안됨,명칭/주소/전화 동기화
808,"경상남도 산청군 산청군공설묘지 본향원",검색 안됨,명칭/주소/전화 동기화
813,"강원특별자치도 강릉시 청솔공원 봉안묘",검색 안됨,명칭/주소/전화 동기화
820,"경기도 파주시 상락원 지장영묘전",검색 안됨,명칭/주소/전화 동기화
824,"제주특별자치도 서귀포시 만불사",검색 안됨,명칭/주소/전화 동기화
829,"서울특별시 마포구 부활의집",검색 안됨,명칭/주소/전화 동기화
835,"경상북도 영천시 대승불교법왕종 한광사",검색 안됨,명칭/주소/전화 동기화
840,"대구광역시 달성군 한국불교원각종 장수사",검색 안됨,명칭/주소/전화 동기화
855,"충남 논산시 성불사 봉안당",검색 안됨,명칭/주소/전화 동기화
857,"김포연화사추모관",유사도 낮음,명칭/주소/전화 동기화
871,"경상북도 영천시 관음사 봉안당",검색 안됨,명칭/주소/전화 동기화
873,"경상북도 칠곡군 용운사 납골당",검색 안됨,명칭/주소/전화 동기화
876,"경남 통영시 안정사 납골당",검색 안됨,명칭/주소/전화 동기화
877,"경남 통영시 용봉사 납골당",검색 안됨,명칭/주소/전화 동기화
879,"경기도 양주시 대한불교조계종 육지장사",검색 안됨,명칭/주소/전화 동기화
881,"충청남도 아산시 보석교회 헤븐스",검색 안됨,명칭/주소/전화 동기화
883,"경남 김해시 불조사 휴안추모관",검색 안됨,명칭/주소/전화 동기화
885,"경기도 양평군 사랑의동산",검색 안됨,명칭/주소/전화 동기화
886,"경기도 양평군 대한예수교장로회 노량진교회",검색 안됨,명칭/주소/전화 동기화
899,"광주 북구 광주영락공원 봉안담",검색 안됨,명칭/주소/전화 동기화
900,"광주 북구 광주영락공원 봉안묘",검색 안됨,명칭/주소/전화 동기화
901,"강원특별자치도 영월군 영월군 봉안당",검색 안됨,명칭/주소/전화 동기화
910,"강원특별자치도 홍천군 천봉사 자연장지",검색 안됨,명칭/주소/전화 동기화
911,"경기도 용인시 용인평온의숲(예정원)",검색 안됨,명칭/주소/전화 동기화
912,"전라남도 장성군 백양사 수목장",검색 안됨,명칭/주소/전화 동기화
913,"강원특별자치도 삼척시 삼척시추모공원 자연장",검색 안됨,명칭/주소/전화 동기화
918,"경기도 양주시 서울신흥교회 하늘계단수목장",검색 안됨,명칭/주소/전화 동기화
922,"천탑사 수목장(그린피아)",유사도 낮음,명칭/주소/전화 동기화
928,"대전광역시 서구 대전추모공원 자연장지",검색 안됨,명칭/주소/전화 동기화
935,"충청북도 청주시 청주시목련공원자연장",검색 안됨,명칭/주소/전화 동기화
937,"경기도 광주시 중대공원자연장지",검색 안됨,명칭/주소/전화 동기화
940,"전라남도 담양군 오룡군립묘원 자연장지",검색 안됨,명칭/주소/전화 동기화
941,"강원특별자치도 춘천시 춘천안식공원 잔디장",검색 안됨,명칭/주소/전화 동기화
950,"강원특별자치도 강릉시 청솔공원 자연장지",검색 안됨,명칭/주소/전화 동기화
955,"경상남도 김해시 휴안추모공원",검색 안됨,명칭/주소/전화 동기화
957,"경상남도 남해군 고사자연장지",검색 안됨,명칭/주소/전화 동기화
961,"경기도 용인시 천주교인보성체수도회",검색 안됨,명칭/주소/전화 동기화
963,"경상남도 진주시 진주대광교회 자연장지",검색 안됨,명칭/주소/전화 동기화
970,"충청북도 청주시 정음사원추모관",검색 안됨,명칭/주소/전화 동기화
976,"전라남도 보성군 대한불교조계종 대원사",검색 안됨,명칭/주소/전화 동기화
980,"경상북도 김천시 천주교 김천공원묘원",검색 안됨,명칭/주소/전화 동기화
