번호,시설명,카테고리,주소,위도,경도,문제설명,ID
154,"철원병원장례식장","장례식장","강원특별자치도 철원군 갈말읍 명성로 208 철원길병원",38.1502944275713,127.308377336573,"Address says "강원" but coordinates are in "경기"","e252abbc-7810-49f3-8292-f258f93cc64f"
155,"철원장례문화원","장례식장","강원특별자치도 철원군 동송읍 금학로157번길 23-17 지하1층",38.2011767801202,127.220353730281,"Address says "강원" but coordinates are in "경기"","0693585e-0f8f-4e93-9ea8-d24fde8a784b"
156,"초지리공설묘지","공원묘지","인천광역시 강화군 길상면 초지리 산20",37.6305208793609,126.511406025043,"Address says "인천" but coordinates are in "경기"","f393c82c-43df-499c-8436-8276d566c1f1"
157,"충현공원 자연장지","자연장","경기도 광주시 용샘길 115-25",37.4272673024264,127.225227991086,"Address says "광주" but coordinates are in "경기"","83656cd2-11c5-4f78-ac55-54f98cb242df"
158,"충현동산","공원묘지","경기도 광주시",37.4294941934863,127.255238719721,"Address says "광주" but coordinates are in "경기"","ffef70b0-3577-48c3-b511-7cb7a7cee885"
159,"펫포레스트 반려동물장례식장 경기광주점","반려동물","경기도 광주시 오포안로 77 펫포레스트",37.3525355,127.1981503,"Address says "광주" but coordinates are in "경기"","9ab32e92-f8aa-4fb3-82dc-ccbfff223873"
160,"평화추모공원","공원묘지","인천광역시 강화군 하점면 창후로 90-35",37.7698839719057,126.371364273057,"Address says "인천" but coordinates are in "UNKNOWN"","bdb675b3-aaee-4685-ba3e-5e3ce3fbe7a6"
161,"하늘강아지 반려동물 장례식장","반려동물","경기도 광주시 초월읍 선장동길 31-3",37.3889868635577,127.318320294458,"Address says "광주" but coordinates are in "경기"","7ac53b9d-a635-43bc-a717-1427f67ada25"
162,"하늘정원","공원묘지","광주광역시 광산구 체암로 1685-1",35.1479325,126.651424,"Address says "광주" but coordinates are in "전남"","f3a8c4e5-4682-4093-a284-2d3fa08a645c"
163,"하도리공설묘지","공원묘지","인천광역시 강화군 송해면 하도리 산13",37.765546287513,126.449684861534,"Address says "인천" but coordinates are in "경기"","3fb1888a-c896-4a0e-98f1-8f0da998b792"
164,"하일리공설묘지","공원묘지","인천광역시 강화군 양도면 하일리 산21",37.6628385502196,126.427358485731,"Address says "인천" but coordinates are in "경기"","c876628e-5b7a-4065-bbc8-23a6b7d2bbf7"
165,"한별반려동물장례식장입구","반려동물","부산광역시 강서구 송정동",35.1025441,128.8316531,"Address says "부산" but coordinates are in "경남"","65552738-33e5-4bda-add5-f63dab80f0dc"
166,"한별반려동물장례식장주차장","반려동물","부산광역시 강서구 송정동 1453",35.1026211,128.831539,"Address says "부산" but coordinates are in "경남"","19eda0eb-8547-4415-bd98-ee5d386a582b"
167,"합덕아산병원합덕장례식장","장례식장","충청남도 당진시 합덕읍 합덕시장로 174-1 서울병원",36.8079701086119,126.774505719119,"Address says "서울" but coordinates are in "경기"","d5b5b21c-debe-45f2-b2c3-e594a0e8f4ff"
168,"현수리공원묘지","공원묘지","경기도 여주시 점동면 현수리 산10-2",37.1831615137716,127.704922235593,"Address says "경기" but coordinates are in "강원"","5514bb2f-b1de-4cf5-9a88-36e8a1a0fb18"
169,"화장동공설묘지","공원묘지","광주광역시 남구 화장동 산30",34.8328923388802,127.575245994747,"Address says "광주" but coordinates are in "전남"","f346b5b0-34f8-4eec-95ab-709c4cfa554b"
