ID,Name,Type,Address,NormalizedName,Note
"1165633909","낙안장례식장","funeral","전남 순천시 낙안면 읍성로 302","낙안","No exact match in 2023 data"
"23151151","아산참요양병원 장례식장","funeral","충남 아산시 염치읍 송곡안길 31","아산참요양병원","No exact match in 2023 data"
"17569715","홍성추모공원 유택동산","park","충남 홍성군 금마면 봉서리 117","홍성추모공원유택동산","No exact match in 2023 data"
"23972280","공동장례식장","funeral","제주특별자치도 서귀포시 남원읍 서성로 955-24","공동","No exact match in 2023 data"
"8111240","탄현베스트장례식장","funeral","경기 고양시 일산서구 경의로 816-1","탄현베스트","No exact match in 2023 data"
"991628826","신산장례식장","funeral","제주특별자치도 서귀포시 성산읍 독자봉로 281","신산","No exact match in 2023 data"
"21209288","구미아성병원 장례식장","funeral","경북 구미시 선기로 155-23","구미아성병원","No exact match in 2023 data"
"9","분당 스카이캐슬","charnel","경기도 광주시 오포읍 신현로 116","분당스카이캐슬","No exact match in 2023 data"
"11387091","우리추모공원","park","경북 울진군 기성면 기성로 912-24","우리추모공원","No exact match in 2023 data"
"8","용인공원","complex","경기도 용인시 처인구 모현읍 새래로 158-33","용인공원","No exact match in 2023 data"
"1071334482","정수사 납골당","charnel","부산 연제구 톳고개로 60","정수사납골당","No exact match in 2023 data"
"14","무지개추모공원","charnel","경기도 김포시 통진읍 옹정리 123","무지개추모공원","No exact match in 2023 data"
"1548526636","오수 펫 추모공원","pet","전북특별자치도 임실군 오수면 춘향로 1554-95","오수펫추모공원","No exact match in 2023 data"
"15","동화경모공원","park","경기도 파주시 탄현면 헤이리로 12-34","동화경모공원","No exact match in 2023 data"
"16","양평 무궁화공원","natural","경기도 양평군 서종면 국수리 456","양평무궁화공원","No exact match in 2023 data"
"622095104","양주한국병원 장례문화원","funeral","경기 양주시 화합로 1489","양주한국병원장례문화원","No exact match in 2023 data"
"25616080","하나노인전문병원 장례식장","funeral","충북 청주시 서원구 대림로 431","하나노인전문병원","No exact match in 2023 data"
"20","약사사 추모관 (불교)","charnel","경기도 부천시 성주로 123","약사사추모관(불교)","No exact match in 2023 data"
"296943174","법왕청추모관","charnel","충청북도 청주시 상당구 미원면 단재로 2776 (쌍이리)","법왕청추모관","No exact match in 2023 data"
"857158193","반려동물장례식장 하얀민들레","pet","경북 청도군 화양읍 남성현로 852","반려동물장례식장하얀민들레","No exact match in 2023 data"
"1379518168","대청병원 장례식장","funeral","대전 서구 계백로 1322","대청병원","No exact match in 2023 data"
"26815919","유성한가족요양병원 장례식장","funeral","대전 유성구 온천동로 43","유성한가족요양병원","No exact match in 2023 data"
"9876328","성서효요양병원 장례식장","funeral","대구 달서구 달구벌대로 1152","성서효요양병원","No exact match in 2023 data"
"702270295","결초보은 추모공원","park","충청북도 보은군 보은읍 속리산로 37 (누청리)","결초보은추모공원","No exact match in 2023 data"
"8436907","순천향대학교부천병원 장례식장","funeral","경기 부천시 원미구 조마루로 170","순천향대학교부천병원","No exact match in 2023 data"
"1239297313","자연애숲수목장","natural","경기 고양시 일산동구 지영로194번길 135","자연애숲수목장","No exact match in 2023 data"
"27557465","평화추모공원","park","인천 강화군 하점면 창후로 90-35","평화추모공원","No exact match in 2023 data"
"997742163","상예원 장례식장","funeral","충남 서천군 장항읍 장항산단로 344","상예원","No exact match in 2023 data"
"24962314","석곡장례식장","funeral","전남 곡성군 석곡면 주석로 657-5","석곡","No exact match in 2023 data"
"8779146","신어공원추모관","charnel","경남 김해시 상동면 소락로 23","신어공원추모관","No exact match in 2023 data"
"1080807582","합천군 합천장례식장","funeral","경남 합천군 대양면 동부로 64-2","합천군합천","No exact match in 2023 data"
"15661419","청양훈요양병원 장례식장","funeral","충남 청양군 청양읍 칠갑산로 157","청양훈요양병원","No exact match in 2023 data"
"1632579326","안동추모공원","park","경북 안동시 풍산읍 노리 191","안동추모공원","No exact match in 2023 data"
"9443246","천불사 납골당","charnel","경남 양산시 매곡4길 35","천불사납골당","No exact match in 2023 data"
"16068131","녹색병원 장례식장","funeral","서울 중랑구 사가정로49길 53","녹색병원","No exact match in 2023 data"
"2130355249","삼우정사 삼우추모공원","park","경남 거제시 장목면 거제북로 919","삼우정사삼우추모공원","No exact match in 2023 data"
"10656218","연천군보건의료원 장례식장","funeral","경기 연천군 전곡읍 은대성로 95","연천군보건의료원","No exact match in 2023 data"
"25623297","그린피아수목장","natural","경남 밀양시 삼랑진읍 화성길 13-47","그린피아수목장","No exact match in 2023 data"
"9492822","원광대학교병원 장례문화원","funeral","전북특별자치도 익산시 인북로 409","원광대학교병원장례문화원","No exact match in 2023 data"
"17314753","청담동성당 장례식장","funeral","서울 강남구 삼성로 720","청담동성당","No exact match in 2023 data"
"468526445","경북도립노인전문요양병원 장례식장","funeral","경북 안동시 남후면 남일로 1463","경북도립노인전문요양병원","No exact match in 2023 data"
"1978053426","김해추모의공원 제2봉안당","charnel","경남 김해시 주촌면 서부로1637번길 574","김해추모의공원제2봉안당","No exact match in 2023 data"
"11318030","S병원 장례식장","funeral","대구 달서구 와룡로 57","S병원","No exact match in 2023 data"
"11964532","국립중앙의료원 장례식장","funeral","서울특별시 중구 을지로 245 (을지로6가, 국립중앙의료원)","국립중앙의료원","No exact match in 2023 data"
"137818508","혼길장례식장","funeral","제주특별자치도 제주시 공항서로 131 (도두이동)","혼길","No exact match in 2023 data"
